fabricante,local_empresa,ano_revisado,origem,cacau_percent,num_ingredientes,classificacao
Castronovo,U.S.A.,2013,Venezuela,70,3,3.25
Castronovo,U.S.A.,2013,Nicaragua,72,3,3.25
Castronovo,U.S.A.,2013,Dominican Republic,73,2,3.5
Castronovo,U.S.A.,2014,Dominican Republic,70,3,2.75
Castronovo,U.S.A.,2014,Colombia,72,3,3.5
Castronovo,U.S.A.,2014,Colombia,76,3,3.5
Castronovo,U.S.A.,2015,Honduras,72,3,3.5
Castronovo,U.S.A.,2015,Venezuela,72,3,3.5
Castronovo,U.S.A.,2015,Dominican Republic,70,3,3.75
Castronovo,U.S.A.,2016,Belize,72,3,4
Castronovo,U.S.A.,2017,Venezuela,70,2,3.25
Castronovo,U.S.A.,2019,Puerto Rico,70,3,3.5
Castronovo,U.S.A.,2019,Mexico,70,3,3.75
Castronovo,U.S.A.,2021,Peru,70,3,4
Castronovo,U.S.A.,2021,Venezuela,72,3,4
Cello,U.S.A.,2014,Ecuador,70,3,2.5
Cello,U.S.A.,2014,Peru,70,3,2.75
Cello,U.S.A.,2014,Venezuela,70,3,2.75
Cello,U.S.A.,2014,Bolivia,70,3,3
Cemoi,France,2009,Ecuador,72,NA,2.75
Chaleur B,Canada,2014,Uganda,70,3,2.75
Chaleur B,Canada,2021,Madagascar,70,3,3
Chaleur B,Canada,2021,Belize,70,3,3
Chaleur B,Canada,2021,Peru,72,3,3.25
Chapon,France,2017,Bolivia,74,2,3
Chapon,France,2018,Venezuela,68,3,3.5
Charm School,U.S.A.,2016,Belize,70,3,3.25
Chchukululu (Tulicorp),Ecuador,2008,Ecuador,75,3,3
Chchukululu (Tulicorp),Ecuador,2010,Ecuador,55,3,2.75
Chequessett,U.S.A.,2014,Costa Rica,70,3,3.5
Chequessett,U.S.A.,2018,Peru,72,3,3
Chequessett,U.S.A.,2019,Ecuador,72,3,3.5
Chequessett,U.S.A.,2021,Colombia,83,3,3.25
Chequessett,U.S.A.,2021,Dominican Republic,69,3,3.25
Chloe Chocolat,France,2011,Blend,70,NA,3.5
Chocablog,U.K.,2015,Ecuador,70,3,3.25
Choco Del Sol,Germany,2014,Belize,75,2,3
Choco Del Sol,Germany,2014,Belize,82,2,3.25
Choco Dong,South Korea,2015,Vietnam,70,2,2.75
Choco Dong,South Korea,2015,Malaysia,70,2,3.5
Chococard (Lapos),Hungary,2019,Nicaragua,72,3,2.5
Chococard (Lapos),Hungary,2019,Dominican Republic,71,3,3.25
Chocolarder,U.K.,2015,Peru,65,2,2.5
Chocolarder,U.K.,2015,Dominican Republic,80,2,2.5
Chocolarder,U.K.,2015,Peru,65,2,2.75
Chocolarder,U.K.,2019,Madagascar,74,2,3
Chocola'te,U.S.A.,2011,Madagascar,70,2,3.75
Chocola'te,U.S.A.,2011,Venezuela,68,2,3.75
Chocolate Alchemist-Philly,U.S.A.,2016,Peru,90,2,2.5
Chocolate Alchemist-Philly,U.S.A.,2016,Blend,80,2,2.5
Chocolate Con Amor,U.S.A.,2016,Bolivia,70,2,2.5
Chocolate Con Amor,U.S.A.,2016,Uganda,70,2,2.75
Chocolate Con Amor,U.S.A.,2016,Nicaragua,80,2,2.75
Chocolate Con Amor,U.S.A.,2016,Dominican Republic,60,2,3
Chocolate Con Amor,U.S.A.,2016,Dominican Republic,75,2,3
Chocolate Con Amor,U.S.A.,2016,Venezuela,80,2,3
Chocolate Con Amor,U.S.A.,2016,Ecuador,70,2,3.25
Chocolate Conspiracy,U.S.A.,2014,Peru,74,3,2.75
Chocolate Makers,Amsterdam,2015,Dominican Republic,75,3,3.25
Chocolate Makers,Amsterdam,2015,Congo,68,3,3.5
Chocolate Makers,Amsterdam,2015,Peru,80,3,3.75
Chocolate Tree,Scotland,2012,Ecuador,82,3,2.5
Chocolate Tree,Scotland,2012,Peru,68,3,2.75
Chocolate Tree,Scotland,2012,Madagascar,72,3,3.25
Chocolate Tree,Scotland,2013,Peru,70,2,3.75
Chocolate Tree,Scotland,2015,Peru,69,3,3.75
Chocolate Tree,Scotland,2015,Venezuela,80,2,3.75
Chocolate Tree,Scotland,2021,Venezuela,70,3,2.75
Chocolates by Josh (Box Chocolate),U.S.A.,2018,Dominican Republic,72,3,3.25
Chocolatoa,Belgium,2019,India,70,3,3
Chocolats Privilege,Canada,2014,Mexico,70,4,2.5
Chocolibrium,U.S.A.,2018,India,63,3,2.5
Chocolibrium,U.S.A.,2018,Guatemala,76,2,2.75
Chocolibrium,U.S.A.,2018,Peru,70,2,2.75
ChocoReko,Japan,2015,Venezuela,77,NA,3
Chocosol,Canada,2011,Mexico,65,NA,3.25
Chocosol,Canada,2016,Mexico,75,3,3.25
Chocotenango,U.S.A.,2021,Guatemala,70,2,3.25
Chocotenango,U.S.A.,2021,Dominican Republic,73,2,3.25
Chocotenango,U.S.A.,2021,Belize,70,2,3.5
Chocovic,Spain,2007,Ecuador,71,4,2.5
Chocovic,Spain,2007,Grenada,71,4,2.5
Chocovic,Spain,2007,Blend,70,4,3
Chocovic,Spain,2008,Venezuela,71,4,3.5
Chocovic,Spain,2009,Blend,60,4,3.25
Chocovic,Spain,2009,Blend,75,4,3.25
Chocovic,Spain,2010,Mexico,71,4,3.25
Chocovic,Spain,2010,Madagascar,71,4,3.5
Chocovivo,U.S.A.,2015,Mexico,65,2,2.5
Chocovivo,U.S.A.,2015,Mexico,75,2,2.5
Choklat,Canada,2009,Venezuela,80,4,2.5
Choklat,Canada,2009,Mexico,70,4,2.75
Choklat,Canada,2009,Brazil,70,4,3
Choklat,Canada,2009,Brazil,80,4,3
Choklat,Canada,2009,Venezuela,70,4,3
Chokola,U.S.A.,2020,Guatemala,70,2,3.5
Chokola,U.S.A.,2020,Venezuela,75,2,3.75
Chokola,U.S.A.,2020,Belize,70,2,3.75
Chokola,U.S.A.,2020,Madagascar,67,2,4
Chokola,U.S.A.,2021,Tanzania,75,2,3.5
Chokola,U.S.A.,2021,Bolivia,75,2,3.75
Chokolat Elot (Girard),Martinique,2013,Martinique,42,4,2.75
Christophe Toury,U.S.A.,2018,Peru,70,2,2.75
Christopher Elbow,U.S.A.,2018,Peru,75,3,3.75
Christopher Elbow,U.S.A.,2019,Vietnam,72,3,3
Christopher Elbow,U.S.A.,2019,Costa Rica,70,3,3.25
Christopher Elbow,U.S.A.,2019,Ecuador,73,3,3.5
Christopher Elbow,U.S.A.,2019,Tanzania,72,3,3.5
Christopher Elbow,U.S.A.,2019,Dominican Republic,72,3,3.75
Christopher Elbow,U.S.A.,2019,Brazil,70,3,4
Christopher Morel (Felchlin),Canada,2011,Peru,68,NA,3.75
Chuao Chocolatier,U.S.A.,2009,Venezuela,61,5,3
Chuao Chocolatier (Pralus),U.S.A.,2010,Venezuela,77,3,2.75
Claudio Corallo,Sao Tome,2008,Blend,100,NA,1
Claudio Corallo,Sao Tome,2008,Blend,80,3,3
Claudio Corallo,Sao Tome,2008,Blend,75,3,3.75
Claudio Corallo,Sao Tome,2010,Blend,73.5,2,3.75
Cleveland Chocolate Company,U.S.A.,2021,Dominican Republic,70,3,3.5
Cleveland Chocolate Company,U.S.A.,2021,Haiti,79,3,3.5
Cloudforest,U.S.A.,2015,Ecuador,73,2,3.5
Coco,Canada,2020,Peru,70,3,3.5
Cocoa Carib,St. Lucia,2019,St. Lucia,70,4,2.25
Cocoa Forge,U.S.A.,2021,Peru,68,3,3
Cocoa Forge,U.S.A.,2021,Madagascar,77,2,3.25
Cocoa Forge,U.S.A.,2021,Colombia,70,3,3.25
Compania de Chocolate (Salgado),Argentina,2008,Venezuela,80,NA,2.75
Compania de Chocolate (Salgado),Argentina,2008,Ecuador,88,NA,2.75
Compania de Chocolate (Salgado),Argentina,2008,Bolivia,72,NA,3.25
Compania de Chocolate (Salgado),Argentina,2008,Venezuela,70,NA,3.75
Compania de Chocolate (Salgado),Argentina,2010,Venezuela,70,NA,3.25
Condor,U.S.A.,2015,Ecuador,76,2,3.5
Confluence,U.S.A.,2016,Vietnam,78,2,2.75
Conjure,U.S.A.,2021,Philippines,70,3,2.5
Conjure,U.S.A.,2021,Ivory Coast,70,3,2.5
Conjure,U.S.A.,2021,Peru,68,3,3.25
Conjure,U.S.A.,2021,Tanzania,75,3,3.5
Coppeneur,Germany,2007,Madagascar,72,3,3
Coppeneur,Germany,2008,Mexico,72,3,3
Coppeneur,Germany,2008,Venezuela,72,3,3
Coppeneur,Germany,2009,Peru,72,3,3
Coppeneur,Germany,2009,Peru,62,3,3.25
Coppeneur,Germany,2009,Venezuela,70,3,3.5
Coppeneur,Germany,2009,Venezuela,70,3,3.75
Coppeneur,Germany,2010,Ecuador,72,3,2.5
Coppeneur,Germany,2010,Venezuela,70,3,3
Coppeneur,Germany,2010,Trinidad,72,3,3
Coppeneur,Germany,2010,Grenada,72,3,3.25
Coppeneur,Germany,2010,Jamaica,72,3,3.25
Coppeneur,Germany,2010,Venezuela,72,3,3.25
Coppeneur,Germany,2012,Ecuador,100,NA,1.5
Coppeneur,Germany,2012,Ghana,85,3,3.5
Coppeneur,Germany,2012,Madagascar,70,3,3.5
Coppeneur,Germany,2012,Blend,72,3,3.75
Coppeneur,Germany,2013,Ecuador,65,4,3.25
Coppeneur,Germany,2017,Ghana,75,3,3.75
Cote d' Or (Kraft),Belgium,2006,Blend,70,NA,1
Cravve,Australia,2012,Tanzania,75,3,3.25
Cravve,Australia,2012,Brazil,65,3,3.25
Cravve,Australia,2012,Fiji,67,3,3.25
Cravve,Australia,2012,Vanuatu,64,3,3.25
Cravve,Australia,2012,Papua New Guinea,75,3,3.5
Cravve,Australia,2014,Papua New Guinea,70,3,2.5
Cravve,Australia,2014,Vanuatu,83,3,2.75
Creo,U.S.A.,2016,Ecuador,85,3,3.25
Creo,U.S.A.,2016,Ecuador,73,3,3.75
Crow and Moss,U.S.A.,2020,Dominican Republic,70,2,3.25
Crow and Moss,U.S.A.,2020,Colombia,70,2,3.25
Crow and Moss,U.S.A.,2020,Ecuador,70,2,3.25
Crow and Moss,U.S.A.,2020,Honduras,70,2,3.5
Crow and Moss,U.S.A.,2021,India,70,2,3.75
Cultura,U.S.A.,2020,Guatemala,70,3,3.25
Cultura,U.S.A.,2020,Haiti,70,3,3.5
Cultura,U.S.A.,2020,Belize,75,3,3.5
Cultura,U.S.A.,2020,Mexico,70,3,3.5
Cuna de Piedra,Mexico,2021,Mexico,73,2,3.75
Daintree,Australia,2011,Australia,70,5,3.25
Daintree,Australia,2015,Australia,70,3,2.75
Dalloway,U.S.A.,2017,Dominican Republic,72,2,2.75
Damson,U.K.,2015,Grenada,70,3,2.25
Damson,U.K.,2015,Nicaragua,70,3,2.75
Damson,U.K.,2015,Trinidad,70,3,3
Damson,U.K.,2015,Ecuador,70,3,3.5
Damson,U.K.,2018,Blend,65,4,2.5
Dancing Lion,U.S.A.,2021,Puerto Rico,68,4,2.5
Dancing Lion,U.S.A.,2021,India,72,4,3
Dancing Lion,U.S.A.,2021,Peru,72,4,3.5
Dandelion,U.S.A.,2012,Costa Rica,70,2,3
Dandelion,U.S.A.,2012,Colombia,70,2,3.25
Dandelion,U.S.A.,2012,Dominican Republic,70,2,3.75
Dandelion,U.S.A.,2013,Venezuela,70,2,2.75
Dandelion,U.S.A.,2013,Venezuela,70,2,3.25
Dandelion,U.S.A.,2013,Venezuela,70,2,3.5
Dandelion,U.S.A.,2013,Papua New Guinea,70,2,3.5
Dandelion,U.S.A.,2014,Liberia,70,2,2.75
Dandelion,U.S.A.,2014,Belize,70,2,3.5
Dandelion,U.S.A.,2014,Ecuador,70,2,3.5
Dandelion,U.S.A.,2014,Dominican Republic,70,2,3.75
Dandelion,U.S.A.,2015,Belize,70,2,3
Dandelion,U.S.A.,2016,Dominican Republic,70,2,3.75
Dandelion,U.S.A.,2017,Costa Rica,70,2,3
Dandelion,U.S.A.,2018,Sierra Leone,70,2,3
Dandelion,U.S.A.,2018,Honduras,70,2,3.25
Dandelion,U.S.A.,2018,India,70,2,3.5
Dandelion,U.S.A.,2019,Vietnam,70,2,3.5
Dandelion,U.S.A.,2021,Guatemala,70,2,2.75
Dandelion,U.S.A.,2021,India,70,2,2.75
Dandelion,U.S.A.,2021,Peru,70,2,3.25
Dandelion,U.S.A.,2021,India,70,2,3.25
Dandelion,U.S.A.,2021,Tanzania,70,2,3.5
Dandelion,U.S.A.,2021,Dominican Republic,70,2,3.5
Dandelion,U.S.A.,2021,Brazil,70,2,4
Dandelion (aka Brower Ave),U.S.A.,2011,Dominican Republic,70,2,3.25
Dandelion (aka Brower Ave),U.S.A.,2011,Madagascar,70,2,3.25
Dandelion (aka Brower Ave),U.S.A.,2011,Tanzania,70,2,3.25
Dandelion (Japan),U.S.A.,2021,Dominican Republic,70,2,3
Danta,Guatemala,2009,Guatemala,75,4,3
Danta,Guatemala,2009,Guatemala,60,4,3.25
Danta,Guatemala,2011,Guatemala,60,4,3.5
Danta,Guatemala,2012,Venezuela,75,4,3
Danta,Guatemala,2012,Guatemala,70,2,3.25
Danta,Guatemala,2012,Guatemala,70,2,3.75
Danta,Guatemala,2012,Madagascar,70,2,3.75
Danta,Guatemala,2012,Guatemala,70,2,4
Danta,Guatemala,2014,Guatemala,82,4,3.25
DAR,U.S.A.,2016,Venezuela,72,2,2.75
DAR,U.S.A.,2016,Vietnam,72,2,3
DAR,U.S.A.,2016,Blend,70,2,3.25
Darcis,Belgium,2019,Peru,72,4,3
Darcis,Belgium,2019,Vietnam,70,4,3.25
Dark Forest,U.S.A.,2015,Madagascar,70,3,3
Dark Forest,U.S.A.,2015,Tanzania,70,3,3
Dark Forest,U.S.A.,2015,Venezuela,70,3,3.25
Dark Forest,U.S.A.,2015,Ecuador,70,3,3.25
Dark Forest,U.S.A.,2016,Bolivia,75,3,3.25
Davis,U.S.A.,2012,Blend,58,4,3.25
Davis,U.S.A.,2013,Ghana,70,4,2.5
Davis,U.S.A.,2013,Dominican Republic,70,4,2.75
Davis,U.S.A.,2013,Venezuela,70,4,2.75
De Mendes,Brazil,2015,Brazil,72,3,3.5
De Mendes,Brazil,2015,Brazil,65,3,3.5
De Villiers,South Africa,2016,Uganda,70,3,2.5
De Villiers,South Africa,2016,Madagascar,70,3,3
Dean and Deluca (Belcolade),U.S.A.,2007,Madagascar,66,4,2.5
Dean and Deluca (Belcolade),U.S.A.,2007,Costa Rica,64,4,3
Dean and Deluca (Belcolade),U.S.A.,2007,Ecuador,71,4,3
Dean and Deluca (Belcolade),U.S.A.,2007,Ghana,60,4,3
Dean and Deluca (Belcolade),U.S.A.,2007,Papua New Guinea,64,4,3
Dean and Deluca (Belcolade),U.S.A.,2007,Peru,64,4,3
Debauve & Gallais (Michel Cluizel),France,2008,Venezuela,66,4,3.75
Debauve & Gallais (Michel Cluizel),France,2009,Papua New Guinea,64,4,3
Definite,Dominican Republic,2018,Dominican Republic,70,2,2.5
Definite,Dominican Republic,2018,Dominican Republic,70,2,2.5
Definite,Dominican Republic,2018,Dominican Republic,80,2,3
Desbarres,Canada,2016,Tanzania,72,2,2.5
Desbarres,Canada,2019,Guatemala,72,2,3
DeVries,U.S.A.,2007,Costa Rica,77,2,3.5
DeVries,U.S.A.,2007,Dominican Republic,77,2,3.5
DeVries,U.S.A.,2008,Bolivia,80,2,2.75
Dick Taylor,U.S.A.,2011,Madagascar,80,2,2.75
Dick Taylor,U.S.A.,2011,Venezuela,75,2,2.75
Dick Taylor,U.S.A.,2011,Dominican Republic,74,2,3
Dick Taylor,U.S.A.,2011,Ecuador,70,2,3.25
Dick Taylor,U.S.A.,2012,Bolivia,75,2,2.75
Dick Taylor,U.S.A.,2013,Ecuador,70,2,3.25
Dick Taylor,U.S.A.,2013,Ecuador,76,2,3.5
Dick Taylor,U.S.A.,2014,Dominican Republic,74,2,3.5
Dick Taylor,U.S.A.,2015,Bolivia,70,2,3.75
Dick Taylor,U.S.A.,2016,Vietnam,78,2,3.5
Dick Taylor,U.S.A.,2017,Guatemala,70,2,3.75
Dick Taylor,U.S.A.,2017,Brazil,75,2,3.75
Dick Taylor,U.S.A.,2017,Solomon Islands,72,2,4
Dick Taylor,U.S.A.,2018,Fiji,80,2,3.75
Dick Taylor,U.S.A.,2019,Madagascar,72,2,3.75
Dick Taylor,U.S.A.,2019,Belize,72,2,4
Dick Taylor,U.S.A.,2020,Blend,73,2,3.5
Dick Taylor,U.S.A.,2021,Jamaica,75,2,3.75
Dick Taylor,U.S.A.,2021,Mexico,72,2,4
Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,75,4,2.5
Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,70,4,2.75
Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,65,4,3
Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,75,4,3
Doble & Bignall,U.K.,2014,Panama,72,3,3.25
Doble & Bignall,U.K.,2014,Venezuela,72,3,3.25
Doble & Bignall,U.K.,2014,Nicaragua,72,3,3.5
Doble & Bignall,U.K.,2015,Venezuela,85,3,3
Dole (Guittard),U.S.A.,2009,U.S.A.,70,NA,3.75
Dolfin (Belcolade),Belgium,2006,Blend,70,3,1.5
Dolfin (Belcolade),Belgium,2008,Blend,88,3,3
Domori,Italy,2006,Venezuela,70,2,3
Domori,Italy,2006,Peru,70,2,3.25
Domori,Italy,2006,Venezuela,70,2,3.5
Domori,Italy,2007,Venezuela,75,2,3.25
Domori,Italy,2007,Venezuela,60,2,3.25
Domori,Italy,2007,Madagascar,70,2,3.5
Domori,Italy,2007,Madagascar,70,2,3.5
Domori,Italy,2007,Indonesia,70,2,3.75
Domori,Italy,2007,Venezuela,70,2,4
Domori,Italy,2007,Ecuador,70,2,4
Domori,Italy,2007,Venezuela,70,2,4
Domori,Italy,2008,Venezuela,70,2,3
Domori,Italy,2008,Colombia,70,2,3
Domori,Italy,2008,Blend,78,2,3.5
Domori,Italy,2008,Blend,70,2,3.75
Domori,Italy,2010,Venezuela,70,2,3
Domori,Italy,2011,Venezuela,70,2,3.5
Domori,Italy,2012,Tanzania,70,2,3.5
Domori,Italy,2012,Venezuela,70,2,3.75
Domori,Italy,2013,Venezuela,100,NA,3
Domori,Italy,2015,Ecuador,70,2,3.75
Domori,Italy,2015,Venezuela,70,2,3.75
Domori,Italy,2018,Tanzania,70,2,4
Dormouse,U.K.,2015,Venezuela,70,3,2.5
Dormouse,U.K.,2015,Colombia,80,3,2.75
Dormouse,U.K.,2015,Madagascar,77,3,2.75
Dormouse,U.K.,2016,Grenada,75,3,2.75
Dormouse,U.K.,2018,Philippines,71.5,3,2.75
Dormouse,U.K.,2018,Guatemala,72,3,3.5
Dormouse,U.K.,2018,Peru,80,2,3.5
Dormouse,U.K.,2021,Belize,78,3,3.25
Double Spiral,U.S.A.,2019,Dominican Republic,75,2,2.5
Double Spiral,U.S.A.,2019,Tanzania,70,2,2.75
Double Spiral,U.S.A.,2019,Dominican Republic,75,2,3
Duffy's,U.K.,2010,Ecuador,70,3,2.5
Duffy's,U.K.,2010,Panama,70,3,3.5
Duffy's,U.K.,2010,Ecuador,72,3,3.75
Duffy's,U.K.,2010,Peru,70,3,3.75
Duffy's,U.K.,2011,Panama,72,3,3
Duffy's,U.K.,2011,Nicaragua,71,3,3.25
Duffy's,U.K.,2011,Dominican Republic,65,3,3.5
Duffy's,U.K.,2011,Venezuela,71,3,3.5
Duffy's,U.K.,2011,Honduras,72,3,3.75
Duffy's,U.K.,2012,Venezuela,72,3,3.75
Duffy's,U.K.,2014,Nicaragua,70,4,3.5
Duffy's,U.K.,2014,Nicaragua,76,4,3.75
Duffy's,U.K.,2015,Guatemala,70,4,4
Duffy's,U.K.,2017,Nigeria,70,4,2.75
Duffy's,U.K.,2018,Guatemala,80,4,3.25
Duffy's,U.K.,2019,Philippines,70,4,3.5
Duffy's,U.K.,2021,Nicaragua,70,4,3.5
Dulcinea,U.S.A.,2015,Dominican Republic,70,2,3.25
Durand,France,2012,Madagascar,82,NA,2.75
Durci,U.S.A.,2015,Dominican Republic,70,3,3.25
Durci,U.S.A.,2015,Venezuela,70,3,3.25
Durci,U.S.A.,2015,Peru,70,3,3.5
Durci,U.S.A.,2015,Venezuela,70,3,3.5
Durci,U.S.A.,2015,Ecuador,70,3,4
Durci,U.S.A.,2018,Peru,70,3,4
East Van Roasters,Canada,2014,Peru,70,3,3.25
East Van Roasters,Canada,2014,Madagascar,70,3,3.5
East Van Roasters,Canada,2014,Dominican Republic,70,3,3.75
Eau de Rose,Canada,2016,Colombia,70,3,3.25
Eau de Rose,Canada,2016,Colombia,70,3,3.25
Eclat (Felchlin),U.S.A.,2012,Peru,72,3,2.75
Eclat (Fruition),U.S.A.,2019,Peru,80,2,3.5
Edelmond,Germany,2016,Venezuela,68,2,3
El Buen,U.S.A.,2020,Madagascar,70,2,3
El Buen,U.S.A.,2020,Colombia,70,2,3
El Ceibo,Bolivia,2008,Bolivia,71,4,2.75
El Ceibo,Bolivia,2011,Bolivia,75,4,3.75
El Rey,Venezuela,2006,Venezuela,70,5,2.75
El Rey,Venezuela,2008,Venezuela,74,5,2.5
El Rey,Venezuela,2008,Venezuela,58,5,2.5
El Rey,Venezuela,2008,Venezuela,61,5,3
El Rey,Venezuela,2009,Venezuela,60.5,5,2.75
El Rey,Venezuela,2009,Venezuela,70,5,3
El Rey,Venezuela,2015,Venezuela,70,5,3.75
Eldora,U.S.A.,2019,Guatemala,70,3,3.5
Emerald Estate,St. Lucia,2013,St. Lucia,60,2,2.75
Emerald Estate,St. Lucia,2013,St. Lucia,70,2,3.25
Emily's,Japan,2015,Venezuela,79,3,3
Emily's,Japan,2015,Peru,78,3,3.5
Encuentro,France,2018,Dominican Republic,70,2,3.25
Encuentro,France,2018,Haiti,70,2,3.5
Encuentro,France,2018,Guatemala,70,2,3.5
Encuentro,France,2018,Madagascar,70,2,3.5
ENNA,U.S.A.,2016,Honduras,75,2,3.25
ENNA,U.S.A.,2018,Vietnam,72,2,3
ENNA,U.S.A.,2019,Sierra Leone,70,3,2.5
ENNA,U.S.A.,2019,Tanzania,80,3,3
ENNA,U.S.A.,2019,Trinidad,72,3,3.5
Enric Rovira (Claudio Corallo),Spain,2010,Blend,80,NA,3.25
Erithaj (A. Morin),France,2014,Vietnam,80,3,3
Erithaj (A. Morin),France,2014,Vietnam,70,3,3.25
Erithaj (A. Morin),France,2014,Vietnam,74,3,3.25
Escazu,U.S.A.,2008,Venezuela,72,4,3
Escazu,U.S.A.,2009,Costa Rica,65,4,2
Escazu,U.S.A.,2009,Blend,74,4,2.75
Escazu,U.S.A.,2009,Venezuela,81,4,3.5
Escazu,U.S.A.,2012,Venezuela,70,4,2.75
Escazu,U.S.A.,2021,Blend,65,3,3
Escazu,U.S.A.,2021,Colombia,70,2,3.5
Ethel's Artisan (Mars),U.S.A.,2011,Blend,55,4,2.5
Ethel's Artisan (Mars),U.S.A.,2011,Trinidad,55,4,2.5
Ethel's Artisan (Mars),U.S.A.,2011,Venezuela,70,4,2.5
Ethel's Artisan (Mars),U.S.A.,2011,Blend,62,4,2.5
Ethel's Artisan (Mars),U.S.A.,2011,Blend,62,4,2.75
Ethereal,U.S.A.,2014,Belize,80,3,3
Ethereal,U.S.A.,2014,Ecuador,80,3,3.5
Ethereal,U.S.A.,2014,Dominican Republic,80,3,3.75
Ethereal,U.S.A.,2018,Guatemala,80,3,3.5
Ethereal,U.S.A.,2021,Uganda,70,3,3
Exquisito,U.S.A.,2019,Peru,73,3,3
Fearless (AMMA),U.S.A.,2010,Brazil,75,2,2.75
Feitoria Cacao,Portugal,2016,Venezuela,76,2,2.5
Feitoria Cacao,Portugal,2016,Belize,76,2,2.75
Feitoria Cacao,Portugal,2016,Jamaica,76,2,3
Felchlin,Switzerland,2006,Blend,62,5,2
Felchlin,Switzerland,2006,Madagascar,64,5,3
Felchlin,Switzerland,2006,Venezuela,65,5,3
Felchlin,Switzerland,2006,Dominican Republic,74,5,3
Felchlin,Switzerland,2006,Ecuador,72,5,3.5
Felchlin,Switzerland,2006,Bolivia,68,5,4
Felchlin,Switzerland,2010,Grenada,58,5,3.5
Finca,U.S.A.,2014,Puerto Rico,65,3,2.25
Finca,U.S.A.,2014,Dominican Republic,85,3,2.5
Finca,U.S.A.,2014,Dominican Republic,80,3,3
Finca,U.S.A.,2014,Dominican Republic,70,3,3.25
Finnia,Canada,2020,Honduras,70,3,2.75
Finnia,Canada,2020,Colombia,70,3,2.75
Finnia,Canada,2020,Mexico,70,3,3
Finnia,Canada,2020,Blend,70,3,3.25
Firetree,U.K.,2019,Philippines,73,4,3.25
Firetree,U.K.,2019,Papua New Guinea,72,4,3.5
Firetree,U.K.,2019,Solomon Islands,69,4,3.5
Firetree,U.K.,2019,Vanuatu,72,4,3.75
Five (5)Mile,U.S.A.,2018,Belize,75,2,2.75
Five (5)Mile,U.S.A.,2018,Guatemala,75,2,2.75
Five (5)Mile,U.S.A.,2018,Colombia,75,2,3
Five (5)Mile,U.S.A.,2018,Dominican Republic,75,2,3.5
FJAK,Norway,2018,Madagascar,70,3,3
FJAK,Norway,2018,India,68,3,3.5
FJAK,Norway,2018,Tanzania,70,3,3.5
Forever Cacao,U.K.,2014,Peru,72,3,2.75
Forteza (Cortes),Puerto Rico,2016,Dominican Republic,70,6,2.75
Forteza (Cortes),Puerto Rico,2016,Dominican Republic,80,6,2.75
Fossa,Singapore,2016,Madagascar,70,2,2.75
Fossa,Singapore,2016,Ecuador,75,2,3.5
Fossa,Singapore,2016,Tanzania,67,2,3.75
Fossa,Singapore,2018,Dominican Republic,72,2,2.75
Fossa,Singapore,2018,Bolivia,70,2,3
Fossa,Singapore,2018,Indonesia,70,2,3
Fossa,Singapore,2018,Philippines,70,2,3.25
Fossa,Singapore,2018,Haiti,68,2,3.5
Fossa,Singapore,2019,Mexico,70,2,3
Fossa,Singapore,2019,Madagascar,70,2,3.5
Fossa,Singapore,2021,Indonesia,72,2,3.5
Fossa,Singapore,2021,Malaysia,72,2,3.5
Foundry,New Zealand,2019,Papua New Guinea,70,2,3
Foundry,New Zealand,2019,Bolivia,70,2,3
Foundry,New Zealand,2019,Vanuatu,70,2,3
Foundry,New Zealand,2019,Colombia,70,2,3
Foundry,New Zealand,2019,Tanzania,70,2,3.25
Foundry,New Zealand,2019,Ecuador,70,2,3.75
Foundry,New Zealand,2019,Peru,70,2,3.75
Franceschi,Venezuela,2012,Venezuela,60,3,3.5
Franceschi,Venezuela,2012,Venezuela,70,3,3.75
Franceschi,Venezuela,2014,Venezuela,70,3,3.5
Franceschi,Venezuela,2014,Venezuela,70,3,3.75
Franceschi,Venezuela,2018,Venezuela,60,4,2.5
Franceschi,Venezuela,2018,Venezuela,70,3,3
Franceschi,Venezuela,2018,Venezuela,85,2,3
Franceschi,Venezuela,2018,Venezuela,70,3,3.25
Franceschi,Venezuela,2018,Venezuela,72,2,3.5
Frederic Blondeel,Belgium,2014,Ghana,60,4,3.5
Frederic Blondeel,Belgium,2014,Madagascar,65,4,3.5
Frederic Blondeel,Belgium,2015,Vietnam,80,4,3
Frederic Blondeel,Belgium,2015,Costa Rica,70,4,3.5
Frederic Blondeel,Belgium,2015,Peru,75,4,3.5
French Broad,U.S.A.,2011,Peru,70,2,3.5
French Broad,U.S.A.,2011,Dominican Republic,65,2,3.5
French Broad,U.S.A.,2012,Peru,81,2,2
French Broad,U.S.A.,2012,Peru,70,2,2.5
French Broad,U.S.A.,2012,Peru,66,2,3.5
French Broad,U.S.A.,2013,Peru,66,2,3.5
French Broad,U.S.A.,2014,Costa Rica,80,2,3
French Broad,U.S.A.,2014,Nicaragua,68,2,3.25
French Broad,U.S.A.,2015,Guatemala,73,2,3.5
French Broad,U.S.A.,2017,Peru,70,2,3.5
French Broad,U.S.A.,2019,India,71,3,3.25
